H1 CPF  1  HTS 2022  9 16 12  7591 ajisai           NONE
H2  8606101 1500    16908 2022 09 16  0  0  0 2022 09 21  0  0  0   240 1 1  0 0 0
H5  1.0100 
H9 
10 0 59837  85200.00000  0    6315789.799    3210324.979   -3407138.916
10 0 59837  85440.00000  0    6155707.569    4339534.146   -2255124.797
10 0 59837  85680.00000  0    5743748.334    5275701.500    -996696.691
10 0 59837  85920.00000  0    5091768.559    5983593.721     308771.484
10 0 59837  86160.00000  0    4221876.568    6438131.568    1599670.713
10 0 59838      0.00000  0    3165739.588    6625241.661    2815114.818
10 0 59838    240.00000  0    1963440.905    6542190.916    3897855.343
10 0 59838    480.00000  0     661942.098    6197403.899    4796996.824
10 0 59838    720.00000  0    -686775.371    5609799.183    5470379.265
10 0 59838    960.00000  0   -2027805.175    4807701.768    5886517.482
10 0 59838   1200.00000  0   -3305553.217    3827413.620    6026018.122
10 0 59838   1440.00000  0   -4466032.617    2711527.951    5882438.996
10 0 59838   1680.00000  0   -5459141.068    1507060.224    5462565.807
10 0 59838   1920.00000  0   -6240834.613     263468.722    4786093.931
10 0 59838   2160.00000  0   -6775108.843    -969359.220    3884729.576
10 0 59838   2400.00000  0   -7035705.973   -2143085.299    2800744.676
10 0 59838   2640.00000  0   -7007463.319   -3212796.655    1585033.360
10 0 59838   2880.00000  0   -6687218.638   -4138709.466     294742.041
10 0 59838   3120.00000  0   -6084201.604   -4887627.071   -1009421.007
10 0 59838   3360.00000  0   -5219871.614   -5434089.770   -2266064.805
10 0 59838   3600.00000  0   -4127191.763   -5761167.362   -3416035.455
10 0 59838   3840.00000  0   -2849368.714   -5860868.712   -4405221.332
10 0 59838   4080.00000  0   -1438119.289   -5734169.258   -5187102.622
10 0 59838   4320.00000  0      48453.878   -5390677.957   -5724923.410
10 0 59838   4560.00000  0    1548278.829   -4847983.601   -5993392.011
10 0 59838   4800.00000  0    2997920.152   -4130731.682   -5979845.601
10 0 59838   5040.00000  0    4335275.346   -3269485.331   -5684839.115
10 0 59838   5280.00000  0    5502259.371   -2299419.235   -5122133.667
10 0 59838   5520.00000  0    6447368.973   -1258898.042   -4318085.427
10 0 59838   5760.00000  0    7128025.590    -187985.188   -3310453.120
10 0 59838   6000.00000  0    7512582.972     873072.505   -2146656.898
